name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;467;0;444;3061;1026;3061;1026;0
header;241;122;241;157;1858;157;1858;122
A;907;322;907;347;925;347;925;322
A;605;330;605;334;609;334;609;330
B;524;423;524;440;537;440;537;423
C;675;700;675;718;688;718;688;700
B;779;1345;779;1363;792;1363;792;1345
B;585;1392;585;1411;599;1411;599;1392
B;780;1437;780;1456;794;1456;794;1437
A;972;1466;972;1468;972;1468;972;1466
A;870;1542;870;1548;875;1548;875;1542
A;1020;2138;1020;2143;1026;2143;1026;2138
A;1017;2237;1017;2248;1023;2248;1023;2237
A;1016;2277;1016;2281;1021;2281;1021;2277
A;560;2689;560;2693;563;2693;563;2689
D;668;2689;668;2714;682;2714;682;2689
