name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;247;0;385;3067;1109;3067;1086;0
header;209;142;209;177;1851;177;1851;142
A;1014;202;1014;231;1038;231;1038;202
B;613;715;613;735;629;735;629;715
B;383;856;383;873;393;873;393;856
B;1021;879;1021;907;1042;907;1042;879
A;580;1464;580;1464;580;1464;580;1464
C;1021;1714;1021;1744;1043;1744;1043;1714
A;489;1892;489;1908;497;1908;497;1892
B;693;1983;693;2002;708;2002;708;1983
A;703;2253;703;2257;706;2257;706;2253
D;1024;2385;1024;2413;1045;2413;1045;2385
A;498;2570;498;2582;505;2582;505;2570
